,apple_pie,baby_back_ribs,baklava,beef_carpaccio,beef_tartare,beet_salad,beignets,bibimbap,bread_pudding,breakfast_burrito,bruschetta,caesar_salad,cannoli,caprese_salad,carrot_cake,ceviche,cheese_plate,cheesecake,chicken_curry,chicken_quesadilla,chicken_wings,chocolate_cake,chocolate_mousse,churros,clam_chowder,club_sandwich,crab_cakes,creme_brulee,croque_madame,cup_cakes,deviled_eggs,donuts,dumplings,edamame,eggs_benedict,escargots,falafel,filet_mignon,fish_and_chips,foie_gras,french_fries,french_onion_soup,french_toast,fried_calamari,fried_rice,frozen_yogurt,garlic_bread,gnocchi,greek_salad,grilled_cheese_sandwich,grilled_salmon,guacamole,gyoza,hamburger,hot_and_sour_soup,hot_dog,huevos_rancheros,hummus,ice_cream,lasagna,lobster_bisque,lobster_roll_sandwich,macaroni_and_cheese,macarons,miso_soup,mussels,nachos,omelette,onion_rings,oysters,pad_thai,paella,pancakes,panna_cotta,peking_duck,pho,pizza,pork_chop,poutine,prime_rib,pulled_pork_sandwich,ramen,ravioli,red_velvet_cake,risotto,samosa,sashimi,scallops,seaweed_salad,shrimp_and_grits,spaghetti_bolognese,spaghetti_carbonara,spring_rolls,steak,strawberry_shortcake,sushi,tacos,takoyaki,tiramisu,tuna_tartare,waffles
bruschetta,0,0,0,5,4,3,0,0,0,1,84,1,0,9,0,4,2,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,1,0,0,1,0,0,2,0,1,1,2,3,1,1,2,2,2,0,0,2,2,0,0,0,0,3,0,0,0,0,1,0,0,1,0,1,1,2,3,0,3,1,2,0,0,0,1,0,1,0,2,5,0,6,0,0,0,1,3,5,5,4,0,6,0
caesar_salad,0,0,1,2,0,7,0,1,0,1,1,141,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,1,0,0,1,1,0,0,3,2,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1,0,1,2,3,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,4,0,0,1,1,0,0,0,2,0,0,0,0
cannoli,0,0,6,0,0,0,11,0,1,3,0,0,135,1,2,0,0,1,0,0,0,0,2,2,1,0,0,0,1,1,0,2,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,1,1,0,1,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1,0,1,0,0,3,0,1
caprese_salad,0,0,0,8,1,13,1,1,0,0,2,1,0,110,0,1,2,1,0,0,0,0,2,0,1,1,1,1,0,0,0,1,0,0,2,0,0,1,0,1,0,0,1,0,0,0,1,1,9,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,1,2,1,1,1,1,0,0,0,5,0,0,0,0,0,1,0,1,0,1,0,0,0,3,0,1,0,0,1,0,1,1,2,1,2,3,1
carrot_cake,2,1,4,0,0,0,0,0,2,0,0,0,0,0,124,1,0,4,0,0,1,5,8,1,0,1,0,0,1,2,0,0,0,0,0,0,2,0,0,2,0,1,2,1,1,0,0,1,0,0,0,0,1,0,0,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,1,3,0,1,8,0,0
ceviche,0,0,0,0,1,3,0,1,0,0,3,2,1,1,0,88,2,1,1,1,1,0,2,0,0,2,0,0,0,0,3,0,2,2,1,0,0,0,0,1,0,0,0,0,0,2,1,5,7,0,1,2,1,1,1,0,2,3,2,0,1,1,0,0,1,1,0,0,0,0,0,2,0,3,0,2,0,0,2,0,0,3,2,0,2,0,4,3,1,4,0,0,3,0,0,4,6,2,0,6,0
cheese_plate,0,1,1,0,0,0,2,0,1,2,0,0,1,0,0,2,139,3,0,2,0,0,2,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,3,0,0,1,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,2,2,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,2,1,0,1,1,0,0,1,0
cheesecake,2,1,5,1,1,1,1,0,3,0,0,0,1,1,7,0,3,83,0,0,0,6,11,0,1,0,0,3,1,7,0,2,0,0,2,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,1,0,2,0,0,0,0,0,0,0,1,14,1,0,0,0,0,0,0,1,0,2,0,0,2,0,0,1,0,0,0,0,11,1,1,0,6,1,2
chicken_curry,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,110,2,2,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,2,0,0,4,0,1,2,0,0,0,3,0,4,2,0,2,5,0,0,0,1,0,2,0,0,0,1,0,0,0,1,3,2,0,4,0,0,13,3,0,4,0,0,1,0,5,0,0,1,2,0,0,4,1,0,1,0
chicken_quesadilla,0,0,3,0,0,0,0,1,0,8,3,2,1,0,0,6,5,0,1,118,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,1,2,1,3,0,0,0,5,1,0,1,0,0,0,0,0,0,5,4,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0
chicken_wings,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,11,0,0,2,4,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
chocolate_cake,0,4,2,0,0,1,0,0,1,0,1,0,0,0,4,0,1,7,0,0,0,109,15,0,0,0,0,1,0,6,0,1,0,1,1,0,1,3,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,3,3,1,0,0,1,0,2,1,0,0,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,13,0,0
chocolate_mousse,0,0,0,3,2,1,1,2,2,1,0,0,2,1,0,1,2,4,1,0,0,24,70,2,0,0,0,2,0,6,0,2,0,0,0,2,0,4,0,7,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,0,2,0,0,3,3,1,0,0,0,1,0,0,3,9,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,13,1,2
churros,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,2,1,157,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,4,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,1,0,0,1,0,5,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
clam_chowder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,1,155,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,3,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,13,0,1,0,5,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
club_sandwich,0,0,2,0,0,0,0,1,0,1,0,4,0,0,0,0,1,0,0,1,0,0,0,0,1,135,0,0,1,0,0,1,0,0,1,0,1,0,1,0,3,0,0,1,0,0,0,0,0,14,0,2,1,8,0,3,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,1,0
crab_cakes,0,0,0,1,5,1,1,0,3,0,0,1,0,2,1,0,0,0,2,1,1,0,0,0,0,0,70,0,2,0,1,1,0,0,1,0,9,3,5,5,0,0,0,4,2,0,0,0,1,0,1,3,2,0,1,0,3,1,0,0,1,0,2,0,0,1,0,2,0,2,2,1,1,0,0,0,0,7,1,3,3,0,1,0,2,0,1,16,1,2,1,1,0,4,0,2,3,1,0,4,1
creme_brulee,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,2,0,2,0,0,145,0,0,1,3,1,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,2,0,1,5,0,1,0,3,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0
croque_madame,1,0,1,0,0,3,0,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,135,0,0,0,0,0,7,0,0,1,1,0,0,0,1,1,0,0,1,1,0,3,3,0,0,8,0,1,1,2,0,6,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
cup_cakes,2,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,3,7,1,0,0,0,0,1,144,2,11,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,4,3,0,0,0,0,0
deviled_eggs,0,0,0,0,1,0,0,0,3,0,2,1,1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,1,0,2,139,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,2,1,0,0,1,1,3,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,6,0,0,0,1,0,0,0,3,2,1,0,5,0
donuts,2,0,1,0,0,0,17,0,0,0,1,0,1,0,0,0,2,2,0,0,0,1,2,1,1,0,0,1,1,6,0,125,0,0,1,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,2,0,2,0,0,4,2,0,0,4,0,1,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0
dumplings,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,160,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,11,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
edamame,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
eggs_benedict,1,1,1,0,0,1,0,0,1,2,0,2,1,1,0,2,0,0,1,0,0,0,0,0,1,0,1,1,4,0,1,1,1,1,145,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,1,5,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,2,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0
escargots,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,1,135,0,2,1,2,0,11,0,0,0,1,0,0,1,0,0,2,0,1,1,0,0,2,0,0,1,1,1,0,0,3,0,1,0,1,0,1,0,0,0,1,2,1,0,0,1,2,2,0,1,1,0,1,2,1,0,1,1,1,0,0,0,0,0,0,0
falafel,1,1,0,0,1,2,3,2,0,3,1,3,3,4,0,2,1,0,1,4,3,0,1,0,1,1,8,0,1,0,0,2,0,0,0,0,96,2,0,0,0,0,2,0,0,2,1,1,2,0,0,2,1,1,0,6,5,1,0,0,0,1,0,0,1,0,0,1,2,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,1,0,0,0,10,1,1,1,0
filet_mignon,0,1,2,1,2,2,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,91,0,11,0,0,1,1,0,0,0,1,0,0,5,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,2,0,0,11,0,14,0,0,3,0,2,1,0,3,0,0,1,0,1,18,1,0,0,1,1,3,0
fish_and_chips,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,153,0,5,0,1,1,0,0,0,0,0,5,1,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,5,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1
foie_gras,1,0,4,2,1,10,1,0,2,0,0,1,0,4,0,3,11,4,0,2,0,0,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,8,1,71,0,2,1,0,0,0,1,1,0,0,4,0,0,0,0,3,0,1,3,0,4,0,0,1,0,1,0,0,0,3,0,0,1,2,5,0,0,7,0,1,0,1,0,0,1,2,0,3,0,2,0,0,0,3,1,1,0,1,2,7,0
french_fries,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,166,0,0,2,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0
french_onion_soup,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,0,1,7,1,0,1,0,0,0,0,2,0,0,0,0,1,145,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,1,0,3,3,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
french_toast,1,3,1,0,0,1,8,0,12,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,3,5,0,0,98,0,0,0,4,0,1,9,3,0,2,1,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,8,1,8,0,0,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,1,0,2
fried_calamari,1,0,0,0,0,1,1,0,3,0,0,1,0,1,0,2,0,0,3,0,7,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,6,0,1,0,0,123,0,0,0,6,1,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,4,0,12,0,0,3,0,0,0,0,0,1,3,0,1,0,1,0,6,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
fried_rice,0,0,0,0,0,0,0,4,0,0,0,4,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,140,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,1,2,1,0,0,1,2,0,0,6,2,0,0,0,0,1,0,1,0,0,1,0,0,12,0,0,0,0,0,4,2,0,0,0,0,1,0,0,2,0
frozen_yogurt,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,165,0,0,2,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
garlic_bread,2,0,6,0,1,0,3,0,0,0,0,1,1,0,0,0,0,1,1,4,1,0,0,0,0,0,0,0,1,0,0,7,1,0,1,0,0,3,2,0,0,1,2,0,0,0,119,1,0,5,2,1,3,0,0,2,0,0,0,3,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,2,4,0,1,0,0,1,0,7,0,0,0,0,0,0,0,0
gnocchi,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,3,0,0,7,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,2,2,0,0,0,1,0,1,0,0,0,1,0,109,0,0,3,3,0,0,0,0,1,1,0,5,0,1,7,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,3,12,0,10,1,1,2,1,2,0,1,0,0,0,0,0,3,0,1,1
greek_salad,0,0,0,4,0,6,0,0,0,0,1,17,0,5,0,3,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,2,132,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,6,0,0,1,0
grilled_cheese_sandwich,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,5,1,4,2,0,0,0,0,1,0,0,1,0,0,1,3,1,5,0,9,0,0,0,9,1,0,99,7,0,5,3,0,5,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,2,0,1,0,0,1,0,2,0,0,0,0,0,7,2,0,0,0,0,0,5,2,0,0,0,0,0,0,0
grilled_salmon,0,5,2,1,0,2,1,0,2,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,5,4,7,1,1,0,0,1,0,7,1,1,1,78,0,7,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,7,0,0,8,0,3,1,1,4,0,1,1,2,6,0,3,0,0,2,4,1,2,1,3,1,3,0
guacamole,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,164,0,0,0,0,1,0,2,0,0,1,0,0,1,0,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0
gyoza,2,0,3,0,0,0,0,0,0,0,2,1,0,0,0,4,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,6,1,1,0,0,0,2,2,0,1,1,0,1,0,1,0,0,2,1,1,132,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,2,1,1,0,0,0,1,0,0,9,2,0,0,0,1,0,6,0,0,0,1,1,0,0,0
hamburger,1,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,4,2,1,3,0,1,0,0,1,2,0,0,1,1,0,1,125,0,5,0,0,1,0,0,4,0,2,0,1,2,1,1,0,0,1,1,0,2,1,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
hot_and_sour_soup,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,163,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,10,0,0,2,0,0,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hot_dog,0,2,0,0,0,1,0,0,0,2,1,0,1,0,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0,1,2,2,0,1,0,0,1,0,1,0,2,0,0,0,0,0,2,1,0,2,0,0,1,1,0,142,4,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,1,2,1,1,0,0,1,1,0,0,0,0,0,3,0,0,0,3,2,0,0,0
huevos_rancheros,1,0,0,0,0,4,0,4,0,3,5,5,0,3,0,0,0,0,7,2,0,0,0,0,1,0,0,0,5,0,0,0,0,0,2,0,3,0,0,0,0,1,1,2,1,0,0,0,1,0,0,2,0,1,0,1,86,2,0,6,0,1,2,0,0,0,11,4,1,1,1,1,1,0,1,0,3,0,1,1,0,0,1,0,2,0,0,1,0,5,1,0,1,1,1,0,6,1,0,0,2
hummus,1,0,1,1,0,0,0,0,4,3,0,2,0,2,0,0,3,0,2,3,0,0,0,2,3,1,0,3,2,0,1,0,2,0,0,3,0,0,2,0,0,1,1,1,1,0,1,2,1,1,0,5,4,0,0,0,2,90,4,1,4,0,1,1,0,2,2,2,0,1,0,2,2,1,1,2,1,0,0,0,0,2,1,0,7,2,0,0,0,3,0,0,1,0,0,0,1,1,1,2,1
ice_cream,2,0,1,0,1,0,0,1,2,0,0,1,2,0,1,2,0,0,0,0,0,4,16,0,0,0,0,1,0,6,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,1,0,2,104,0,0,1,0,2,1,1,1,0,0,2,0,0,1,2,1,1,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,1,1,1,2
lasagna,1,0,1,2,0,0,0,1,3,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,11,3,0,0,0,5,5,1,0,4,0,3,0,1,1,7,1,0,92,0,0,4,1,0,0,2,2,0,0,0,1,0,0,3,1,4,0,0,1,1,2,4,0,3,1,0,1,0,2,4,0,0,3,0,0,0,0,1,2,2
